iteration,n_candidates,reward_time_ms,total_time_ms
1,304,16374.868869781494,16375.279426574707
2,303,52.70242691040039,60.80365180969238
3,302,53.65324020385742,60.335397720336914
4,301,51.13053321838379,58.73227119445801
5,300,52.37078666687012,58.79497528076172
6,299,51.30481719970703,58.547019958496094
7,298,52.98662185668945,60.019493103027344
8,297,66.74647331237793,76.35831832885742
9,296,72.48711585998535,81.23135566711426
10,295,69.03338432312012,78.66454124450684
11,294,67.7790641784668,76.55739784240723
12,293,68.26090812683105,78.80377769470215
13,292,74.85175132751465,83.84513854980469
14,291,69.09322738647461,79.04362678527832
15,290,68.28165054321289,78.52625846862793
16,279,90.51704406738281,100.18515586853027
17,278,58.80165100097656,65.03152847290039
18,277,48.88415336608887,55.64522743225098
19,275,58.2430362701416,65.53077697753906
20,274,49.97444152832031,56.798458099365234
21,273,48.9354133605957,55.18627166748047
22,272,47.90306091308594,55.19461631774902
23,271,48.41327667236328,54.65269088745117
24,270,48.8278865814209,55.76944351196289
25,269,48.92683029174805,55.173635482788086
26,268,48.43783378601074,55.27949333190918
27,267,52.843332290649414,60.96172332763672
28,262,61.55037879943848,71.5489387512207
29,258,74.01227951049805,81.67362213134766
30,257,60.283660888671875,69.31400299072266
31,256,67.73519515991211,75.9592056274414
32,252,75.83284378051758,84.68413352966309
33,251,58.500051498413086,66.39266014099121
34,250,67.98648834228516,76.84922218322754
35,249,82.26871490478516,89.68281745910645
36,248,54.38685417175293,62.69383430480957
37,247,56.12611770629883,63.719987869262695
38,243,47.519683837890625,53.717851638793945
39,239,44.90327835083008,52.399635314941406
40,238,46.99826240539551,54.83865737915039
41,237,46.622514724731445,52.05392837524414
42,236,46.7836856842041,53.371429443359375
43,229,55.03487586975098,62.81876564025879
44,225,53.9858341217041,62.119245529174805
45,224,41.483402252197266,46.846628189086914
46,220,41.51797294616699,47.38497734069824
47,213,38.25259208679199,43.460845947265625
48,212,38.34986686706543,44.0213680267334
49,211,37.558794021606445,42.73486137390137
50,210,37.560462951660156,43.057918548583984
51,209,38.71893882751465,43.771982192993164
52,208,38.55633735656738,44.00825500488281
53,207,48.58255386352539,54.87799644470215
54,203,50.86112022399902,57.965993881225586
55,202,45.919179916381836,52.071332931518555
